Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,CA-2016-152156,08/11/16,11/11/16,Secnd Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,south,FUR-BO-10001798,FURNITURE,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0,41.9136
2,CA-2016-152156,11/08/16,11/11/16,Secnd Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-CH-10000454,FURNITURE,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0,219.582
3,CA-2016-138688,12/06/16,16/06/16,Secnd Class,DV-13045,Darrin Van Huff,corporate,United States,Los Angeles,California,90036,West,OFF-LA-10000240,OFFICE SUPPLIES,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0,6.8714
4,US-2015-108966,11/10/15,18/10/15,Stndrd Class,SO-20335,Sean O'Donnell,consumer,United States,Fort Lauderdale,Florida,33311,south,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031
5,US-2015-108966,11/10/15,18/10/15,Stndrd Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164
6,CA-2014-115812,09/06/14,14/06/14,Stndrd Class,BH-11710,Brosina Hoffman,consumer,United States,Los Angeles,California,90032,West,FUR-FU-10001487,FURNITURE,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0,14.1694
7,CA-2014-115812,09/06/14,14/06/14,Stndrd Class,BH-11710,Brosina Hoffman,CONSUMER,United States,Los Angeles,California,90032,West,OFF-AR-10002833,OFFICE SUPPLIES,Art,Newell 322,7.28,4,0,1.9656
8,CA-2014-115812,09/06/14,14/06/14,Stndrd Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002275,technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152
9,CA-2014-115812,09/06/14,06/14/14,Stndrd Class,BH-11710,Brosina Hoffman,consumer,United States,Los Angeles,California,90032,west,OFF-BI-10003910,OFFICE SUPPLIES,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825
10,CA-2014-115812,06/09/14,06/14/14,Stndrd Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,west,OFF-AP-10002892,office supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0,34.47
11,CA-2014-115812,06/09/14,06/14/14,Stndrd Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092
12,CA-2014-115812,09/06/14,06/14/14,Stndrd Class,BH-11710,Brosina Hoffman,CONSUMER,United States,Los Angeles,California,90032,WEST,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,68.3568
13,CA-2017-114412,04/15/17,20/04/17,Stndrd Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.4432
14,CA-2016-161389,12/05/16,10/12/16,Stndrd Class,IM-15070,Irene Maddox,consumer,United States,Seattle,Washington,98103,WEST,OFF-BI-10003656,office supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922
15,US-2015-118983,11/22/15,11/26/15,Stndrd Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-AP-10002311,OFFICE SUPPLIES,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858
16,US-2015-118983,22/11/15,26/11/15,Stndrd Class,HP-14815,Harold Pawlan,home office,United States,Fort Worth,Texas,76106,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816
17,CA-2014-105893,11/11/14,18/11/14,Stndrd Class,PK-19075,Pete Kriz,CONSUMER,United States,Madison,Wisconsin,53711,Central,OFF-ST-10004186,office supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0,13.3176
18,CA-2014-167164,05/13/14,05/15/14,Secnd Class,AG-10270,Alejandro Grove,CONSUMER,United States,West Jordan,Utah,84084,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0,9.99
19,CA-2014-143336,08/27/14,09/01/14,Secnd Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,west,OFF-AR-10003056,office supplies,Art,Newell 341,8.56,2,0,2.4824
20,CA-2014-143336,27/08/14,09/01/14,Secnd Class,ZD-21925,Zuschuss Donatelli,CONSUMER,United States,San Francisco,California,94109,WEST,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011
21,CA-2014-143336,27/08/14,09/01/14,Secnd Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,west,OFF-BI-10002215,OFFICE SUPPLIES,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384
22,CA-2016-137330,12/09/16,13/12/16,Stndrd Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,CENTRAL,OFF-AR-10000246,OFFICE SUPPLIES,Art,Newell 318,19.46,7,0,5.0596
23,CA-2016-137330,12/09/16,12/13/16,Stndrd Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0,15.6884
24,US-2017-156909,16/07/17,18/07/17,Secnd Class,SF-20065,Sandra Flanagan,CONSUMER,United States,Philadelphia,Pennsylvania,19140,EAST,FUR-CH-10002774,FURNITURE,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196
25,CA-2015-106320,09/25/15,30/09/15,Stndrd Class,EB-13870,Emily Burns,consumer,United States,Orem,Utah,84057,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0,240.2649
